Name,Category,Price,Description,OriginalPrice,OfferDescription,IsCashOffer,ImageUrl,IsFeatured
SEDILEE DETERGENTE 750 CC,Varios,16494,varios,16494,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
SAN VICENTE AZUCAR X 1 KG,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LEVADURA FERMIPAN ROJA X500G.,Varios,139200,varios,139200,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MOLIDA,Varios,11370,varios,11370,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MOLIDA OFERTA,Varios,9870,varios,9870,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MACOCA LECHE CONDENSADA  X 395G,Varios,27500,varios,27500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
TANG JUGO 18 G,Varios,"6299,9999",varios,"6299,9999",varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BALBO TINTO 1125 ML,Varios,16500,varios,16500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
OIKOS LECHE LIQUIDA X 12,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ARGENTINO  BLANCO C/ ENV. X  200G,Varios,23450,varios,23450,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
YOGUR YATASTO DURAZNO  X 1LTS,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CAÑA CACHAPE X 500 ,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CAÑA CACHAPE X 930 ML,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ARROZ STORTI 5/0 1K,Varios,8950,varios,8950,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BALANCEAR ALIMENTOS  PERROS X 15 KG,Varios,17000,varios,17000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LA GRANJA  ARVEJA X  500 G,Varios,9900,varios,9900,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ALFAJOR FULBITO X 25G,Varios,6400,varios,6400,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LEGITIMO ACEITE  X 900,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
POROTO,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BIERZO MORTADELA BOLOGNA  X FRACCION,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BIC MAQ. AFEITAR  TRIPLE HOJA X 1U.,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LA GRANJA LENTEJAS X 500,Varios,19419,varios,19419,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BRAHMA 473CC,Varios,38500,varios,38500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
COTIDIANO PAPEL HIGIENICO,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
FAUNA SURTIDAS X 150GR,Varios,18740,varios,18740,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
VUAL X 50 MTS X 24 UNIDADES,Varios,12900,varios,12900,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
RITZ PAPEL HIG. NAT. 6 X 30 MTS,Varios,20046,varios,20046,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
YATASTO MUZZA CILINDRO POR PIEZA,Varios,8900,varios,8900,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PAPEL NEW PEL X 24,Varios,7950,varios,7950,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
AGUA SAB. PLACER  1.5 LTS,Varios,6800,varios,6800,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LECHE LECHELISTA X 800G,Varios,32400,varios,32400,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
COMPINCHES ALIMENTO PERROS X 20 K,Varios,18900,varios,18900,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PEPOS GALLETITA X 200G,Varios,14579,varios,14579,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PATERO CABARCENO X 1125 CC,Varios,18000,varios,18000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
SAL FINA LA ISABELA X 500,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ZAPALLITO D TRONCO,Varios,1500,varios,1500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BIERZO MORTADELA BOLOGNA X PIEZA,Varios,5995,varios,5995,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MAGISTRAL DETERG 1.4 LTS,Varios,88005,varios,88005,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
RINDE 2 JUGO POLVO 13 G,Varios,4950,varios,4950,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
SOL PAMPEANO FIDEOS TALL/SPAG/FOR 500G,Varios,15082,varios,15082,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PEPOS X 500G,Varios,15528,varios,15528,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
